Label,precision,recall,f1-score,support
Chipolo,1.0,0.997,0.998,1144.0
iPhone,1.0,1.0,1.0,10420.0
,,,,
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,0.998,0.999,11564.0
weighted avg,1.0,1.0,1.0,11564.0
