Label,precision,recall,f1-score,support
AirPod,1.0,1.0,1.0,5143.0
iPhone,1.0,1.0,1.0,3661.0
,,,,
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,8804.0
weighted avg,1.0,1.0,1.0,8804.0
