Label,precision,recall,f1-score,support
SmartTag,1.0,0.993,0.997,303.0
other Device,1.0,1.0,1.0,5413.0
,,,,
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,0.997,0.998,5716.0
weighted avg,1.0,1.0,1.0,5716.0
